NAO,Nino34,AO
1.66,25.88,0.90504
0.72,26.56,-0.30272
-0.37,26.77,-2.386
-0.28,27.14,-0.28359
0.54,27.2,0.47918
-0.42,26.83,0.0072895
-0.07,26.79,0.018871000000000002
1.15,26.61,0.46568999999999994
0.17,26.38,-0.41276
-0.07,26.04,-0.27026
-0.06,25.52,-0.9658700000000001
0.0,25.25,0.446
-1.61,25.38,-2.8057
-0.49,26.03,-1.4398
0.2,26.5,0.5514399999999999
0.32,26.64,0.65242
-0.49,26.9,-0.43221000000000004
-0.8,26.81,-0.34656
1.22,26.56,-0.38958000000000004
-0.48,26.3,-0.0014289
-0.52,26.02,0.11441
0.9,26.23,1.0351
-0.67,26.33,-1.2175
0.22,26.19,-1.9476
1.11,25.89,-0.5676399999999999
-1.0,26.05,-2.9041
1.71,26.87,1.9308
-0.59,27.49,0.10299000000000001
0.85,27.4,0.36687
1.22,27.42,0.53457
0.12,27.18,-0.0082585
-1.09,27.17,-0.82629
-1.12,27.24,-0.023385
1.55,27.53,1.4246
2.29,27.71,0.9257200000000001
0.99,27.72,0.059767999999999995
-1.15,27.68,-1.1476
-0.73,27.88,-1.4732
0.14,28.27,-1.7465
2.0,28.39,0.38697
0.98,28.56,0.32524000000000003
-1.82,28.65,-0.71027
0.52,28.59,-0.46626999999999996
-0.83,28.42,-0.8357
-1.22,28.36,0.28653
0.14,27.96,-0.080009
0.18,27.77,-0.53584
0.32,27.54,-0.53391
1.02,27.45,0.26466
0.76,27.03,-1.0662
-0.17,27.38,-0.19707
-1.17,27.38,-0.56071
0.63,26.68,-0.84614
0.88,25.99,0.060528
-0.35,25.56,-0.14337
0.04,25.66,0.25456999999999996
-0.99,25.72,1.0393
-1.08,24.82,0.032359
-0.34,24.65,-0.034655
0.61,24.63,1.6788
1.17,24.58,3.106
2.0,25.28,3.2793
1.85,26.08,1.5303
0.28,26.74,-0.25024
1.38,27.06,0.8888299999999999
-0.27,27.14,0.34498
0.97,26.72,0.86555
0.01,26.33,0.5509
2.05,26.42,0.70313
-0.03,26.32,0.99069
0.16,26.25,0.033782
-1.15,26.46,-0.64365
1.04,26.56,1.0007
1.41,26.96,3.4016
1.46,27.33,2.99
2.0,27.9,1.8788
-1.53,28.02,0.9428200000000001
-0.02,27.64,0.3043
0.53,27.38,-0.29581
0.97,27.07,-0.18024
1.06,26.94,-0.2104
0.23,26.93,0.6603399999999999
-0.24,26.81,0.52064
0.22,26.95,1.2767
0.86,27.03,0.72323
1.04,27.07,-0.8759899999999999
-0.2,27.32,-0.5268
0.29,28.01,0.5302100000000001
0.08,28.2,0.48649
-0.82,28.25,-0.11535999999999999
-0.49,28.05,-0.18797
1.23,27.53,0.79688
0.48,27.14,-0.11220999999999999
-0.19,27.58,-0.25195
0.48,27.9,0.28465
0.46,28.29,1.6132
-0.13,28.38,0.55003
1.07,28.53,1.1217
0.87,28.66,0.9842299999999999
1.86,29.02,-0.52053
2.63,28.98,1.3414
0.2,28.3,-0.30196
0.16,27.51,0.19113
0.85,26.91,0.5353399999999999
-0.44,26.65,-0.6403
-1.76,26.42,-0.36589
1.19,26.42,0.71699
0.47,26.44,1.6267
1.6,26.69,3.4953
0.5,27.16,0.1845
0.67,27.67,0.76435
0.97,28.41,-0.43545
-0.78,28.71,-1.6075
-0.59,28.08,-0.51951
-3.18,27.52,-0.5107
0.12,26.99,-0.39299
-0.57,27.07,-0.36063
-0.71,26.77,-0.56501
2.56,26.71,1.0018
1.56,26.76,-0.10412
1.04,26.64,-0.28785
0.46,26.81,-0.86154
1.26,27.39,1.881
1.14,28.08,0.22474
-0.57,28.24,-0.11545
1.52,28.04,1.6063
1.31,27.54,0.35074
0.38,27.38,0.8275299999999999
-1.32,27.2,-0.08405499999999999
-0.97,27.47,0.17403
0.64,27.81,1.7794
2.02,27.85,0.8938299999999999
0.93,27.57,-0.15377000000000002
1.14,27.49,1.4289
1.25,27.75,0.39323
-0.85,28.1,-0.9631299999999999
-1.49,27.82,-0.8912
0.13,27.59,-0.11182
-0.22,27.08,-0.21708000000000002
0.69,26.23,0.54359
0.31,25.88,-0.54903
0.19,25.84,0.075041
-1.38,25.6,-0.72327
-1.67,25.65,-2.1271
-0.12,25.69,-1.2004
-0.07,25.89,0.16321
-0.24,26.67,-1.4832
-0.17,27.35,-1.5251
-1.06,27.55,-0.22641999999999998
0.56,27.29,0.49673
0.67,26.85,0.7145699999999999
1.02,26.64,0.12470999999999999
-0.86,26.27,-1.14
-0.33,26.27,0.18253
-0.56,26.29,0.13637
-1.41,25.95,-1.7208
-0.49,26.01,-0.45677
1.7,26.38,1.8887
1.46,27.04,1.0908
-1.02,27.98,0.32363000000000003
-0.28,28.58,-0.9611299999999999
-1.47,28.82,-0.81499
0.34,28.86,-0.43061000000000005
0.83,28.75,0.12062
0.61,28.85,0.19451
-1.7,29.08,-0.69971
-0.9,29.12,-0.66113
-0.96,28.89,-0.071116
0.39,28.93,-2.0806
-0.11,28.78,-0.18317999999999998
0.87,28.62,-0.25442
-0.68,28.6,-0.037912
-1.32,28.51,0.42863999999999997
-2.72,27.34,-0.71073
-0.48,26.3,-0.21166999999999997
-0.02,25.57,0.65033
-2.0,25.46,-1.0499
-0.29,25.25,0.29433000000000004
-0.28,25.24,-1.4494
0.87,24.91,1.3534
0.77,24.86,0.11035
0.29,25.43,0.48213
0.23,26.33,-1.4916
-0.95,26.7,0.28445
0.92,26.79,0.22587
1.12,26.53,0.70703
-0.9,26.13,-0.0020418
0.39,25.63,-0.67215
0.36,25.63,0.059078
0.2,25.48,-0.005802300000000001
0.65,25.12,0.6109399999999999
1.61,24.86,1.0431
0.6,24.78,1.2702
1.7,25.21,1.0758
0.77,26.3,-0.45136000000000004
-0.03,26.95,-0.27852
1.58,27.07,0.96909
-0.03,26.94,0.5861
-1.03,26.63,-0.6494300000000001
-0.29,26.37,0.14389000000000002
-0.21,26.2,0.39486
0.92,26.02,0.31678
-0.92,25.92,-1.5815
-0.58,25.68,-2.3544
0.25,25.81,-0.95883
0.45,26.12,-0.62241
-1.26,26.8,-1.6865
0.0,27.33,0.9059799999999999
-0.02,27.6,0.45196000000000003
-0.2,27.54,-0.015338
-0.25,27.25,-0.030987999999999998
-0.07,26.8,0.5205
-0.65,26.52,-0.7066
-0.24,26.57,0.7074699999999999
0.63,26.33,0.81865
-0.83,26.19,-1.3224
0.44,26.39,1.3813
1.1,26.71,1.3035
0.69,27.29,0.902
1.18,27.84,0.74841
-0.22,28.24,0.40136
0.38,28.44,0.5727399999999999
0.62,28.03,0.32764
0.38,27.72,-0.22853
-0.7,27.81,-0.042744
-2.28,27.96,-1.4885
-0.18,28.17,-1.4251
-0.94,27.97,-1.5921
0.16,27.15,-0.47167
0.62,27.39,0.1278
0.32,27.65,0.9329700000000001
-0.18,27.68,-0.17811
0.01,27.32,1.0167
-0.07,27.44,-0.10212
0.13,27.5,0.075316
-0.07,27.11,-0.28037
0.01,26.99,0.46658
-1.26,27.14,-0.66981
0.86,27.04,0.64242
0.64,27.03,0.26521
-0.29,26.81,-1.6858
-0.14,26.98,-1.5285
1.02,27.4,0.31806
1.15,27.89,-0.40938
0.19,28.0,-0.094252
-0.89,27.86,-0.23586999999999997
1.13,27.78,-0.20054
-0.48,27.62,-0.72019
0.38,27.53,0.85501
-1.1,27.44,-0.51542
0.73,27.36,0.6782699999999999
1.21,27.34,1.2301
1.52,27.21,0.35617
-0.06,27.11,-1.2706
-1.83,27.73,-1.3479
-0.3,28.08,-0.046214
-1.25,28.24,-0.76336
-0.05,27.77,-0.38324
-0.51,27.06,-0.030247000000000003
0.37,26.8,0.026141
0.63,26.68,0.8023899999999999
-0.98,26.65,0.029768
-0.31,26.11,0.22769
-0.44,25.68,-2.1039
1.2651,25.63,-0.17047
-0.51059,26.08,-0.15577
-1.2779,26.57,-1.6038
1.2353,27.5,0.13833
-1.1444,27.85,0.15581
0.8412299999999999,27.73,1.0708
0.9024399999999999,27.3,0.1027
-1.7264,27.16,-0.26525
-1.6219,27.32,0.60649
-2.2439,27.41,-1.0291
0.43681000000000003,27.69,0.52131
1.3366,27.74,2.2817
0.22265,27.24,2.0338
-0.47003999999999996,26.88,-1.3069
1.4425,27.1,1.1821
0.16942000000000002,27.5,0.54427
0.66381,27.46,0.8936700000000001
-1.3064,27.37,-0.55496
-0.5794199999999999,26.71,-0.39652
-0.139,26.14,-0.033738
0.72127,25.61,0.17892
0.44653000000000004,25.32,0.38348000000000004
0.5755899999999999,25.17,-0.51866
0.34358,25.01,0.8211299999999999
0.8901100000000001,24.86,0.81896
0.73461,25.08,0.9380700000000001
0.076088,26.07,0.5855899999999999
-1.0655,26.83,-0.45501
-1.728,27.09,-1.2047
-1.3895,27.04,-0.08978
-1.2741,26.99,-0.47991999999999996
-1.1602,26.72,-0.08048200000000001
1.0169,26.47,-0.32656999999999997
-0.043356,26.37,1.6758
-0.31995,26.25,0.092205
-0.27655,25.74,0.64778
-0.007481600000000001,25.66,0.79975
0.056526,25.96,-0.6723
0.5723,26.59,0.12134
-0.20439000000000002,27.47,0.9725299999999999
1.6827,27.99,1.1937
-1.2074,28.04,-1.3507
-2.1529,27.78,-1.3559
-0.19385,27.42,-0.053666
1.5089,27.4,0.87451
-1.0322,27.6,-1.5399
-0.024814,28.16,0.45885
-1.9257,28.34,-3.4128
-1.1086,28.07,-2.5868
-1.9845,28.01,-4.2657
-0.8831200000000001,28.18,-0.43208
-0.71995,28.2,-0.2745
-1.487,27.71,-0.91864
-0.81597,27.04,-0.013004
-0.42496000000000006,26.22,0.43527
-1.2227,25.47,-0.1166
-0.79482,25.12,-0.86464
-0.9283,25.03,-0.46697
-1.6158,25.06,-0.37575
-1.8472,25.0,-2.631
-0.87685,25.0,-1.6831
0.70124,25.64,1.5754
0.6129,26.36,1.4241
2.4775,27.05,2.2748
-0.062273,27.41,-0.035093
-1.2795,27.35,-0.85775
-1.5122,26.87,-0.47162
-1.3475,26.21,-1.0626
0.53603,25.92,0.66474
0.39353,25.67,0.79975
1.3602,25.52,1.4592
2.5213,25.54,2.2208
1.1739,25.67,-0.21966
0.4201,26.08,-0.036335
1.2655,26.67,1.0371
0.47098,27.32,-0.034571
-0.9068299999999999,27.61,0.16841
-2.5309,27.75,-0.6724100000000001
-1.3215,27.54,0.16779000000000002
-0.98321,27.32,0.013999000000000001
-0.58608,27.1,0.77225
-2.062,26.98,-1.514
-0.5782,26.86,-0.11057
0.17064000000000001,26.34,-1.7486
0.3453,26.01,-0.60952
-0.45306,26.24,-1.0074
-1.6119,27.03,-3.1854
0.687,27.57,0.32221
0.56906,27.53,0.49401000000000006
0.52076,27.3,0.54865
0.6721600000000001,26.91,-0.011112
0.97019,26.47,0.15425
0.2406,26.54,-0.46088
-1.2801,26.52,0.26276
0.9008200000000001,26.56,2.029
0.9456600000000001,26.43,1.4749
0.29026,26.05,-0.9687600000000001
1.3352,26.14,0.043775
0.79827,27.0,1.2058
0.30522,27.9,0.9719700000000001
-0.9225,28.25,0.46421
-0.97006,27.96,-0.50745
0.17539000000000002,27.23,-0.48894
-1.6815,26.82,-0.37154
1.6163,27.01,0.10191
-1.2706,27.16,-1.1344
0.67797,27.46,-0.5303
1.8575,27.31,0.41292
1.7887,27.05,1.0916
1.3228,27.17,1.0426
1.4497,27.75,1.8374
0.72535,28.52,1.2157
0.14552,28.85,0.76276
-0.066822,28.9,0.42704
-3.179,28.75,-1.1079
-0.76036,28.79,-0.68902
-0.64846,28.93,-0.16451
0.43723,29.08,-0.25006
1.7438,29.42,1.945
2.2436,29.26,1.4441
0.11652,29.11,-1.4487
1.5803,29.01,-0.023521
0.7344,28.9,0.28024
0.37514000000000003,28.72,-1.0511
-0.77358,28.23,-0.035739
-0.43251000000000006,27.69,0.31288
-1.7603,26.82,0.084758
-1.6453,26.28,0.47238
0.6109600000000001,26.14,0.7809699999999999
0.41125,25.98,-1.9173
-0.16366,25.94,-0.6109100000000001
0.47833000000000003,26.1,1.7864
0.47823999999999994,26.12,0.9419700000000001
1.0048,26.67,0.33986
0.73702,27.32,1.3654
1.7325,28.03,-0.088658
-1.911,28.3,-0.73014
0.045036,28.06,0.40166
1.2556,27.54,0.6342300000000001
-1.0977,26.7,0.15004
-0.61273,26.29,-0.49245
0.18594000000000002,26.15,0.69034
-0.0048984,25.74,-0.077573
0.8815799999999999,25.62,-0.058977999999999996
1.4423,25.57,-0.28084000000000003
1.5778,25.97,0.11273
-0.9269,26.48,-0.9411200000000001
1.2411,27.31,0.54391
2.1208,27.73,1.1796
1.088,27.77,0.37988
1.3893,27.42,0.61175
1.967,26.94,0.8360700000000001
1.6736,27.19,0.5845100000000001
0.93453,27.62,0.41276999999999997
-0.11126,27.61,-1.1162
0.61156,27.49,0.10973
0.59202,27.19,-0.7132
0.29141,27.46,1.1495
1.2321,28.09,2.1161
0.466,28.44,-0.25531
-2.623,28.48,-1.2313
-1.0886,28.18,-0.60129
-1.4255,27.64,-0.88969
-1.1684,26.9,-0.72177
-0.16408,26.75,0.3062
-1.4134,27.2,-0.082195
0.27847,27.22,-1.1934
1.2016,27.12,0.41207
